last_date,location_type,location_id,location_name,metric_id,category,metric_name,attribute,unit,value,source_description,
2016-06-30,LGA,10250,Ballina (A),1_115,Local Government Area Profile,,3rd highest value product,,Broadacre crops,"7121.0 - Agricultural Comoddities, Australia, 2015-16",
2020-05-15,LGA,10250,Ballina (A),2_101,Bushfire Impact,,Total area affected,,10 sq km (2% of LGA),"Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-05-15,LGA,10250,Ballina (A),2_102,Bushfire Impact,,Bushland and forests affected,,0 sq km (0% of bushland and forests),"Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-05-15,LGA,10250,Ballina (A),2_103,Bushfire Impact,,Agricultural land affected,,0 sq km (0% of agricultural land),"Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-03-17,LGA,10250,Ballina (A),2_104,Bushfire Impact,,Houses damaged/destroyed,,0 / 0,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-03-17,LGA,10250,Ballina (A),2_105,Bushfire Impact,,Outbuildings damaged/destroyed,,0 / 1,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-12,LGA,10250,Ballina (A),3_101,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,A (individual),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10250,Ballina (A),3_102,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,B (public assests),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10250,Ballina (A),3_103,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,C (community),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10250,Ballina (A),3_104,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,D (exceptional),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-08-20,LGA,10250,Ballina (A),3_105,Human and Social Recovery,LGA Grants Program,Support received,$,"$1,225,000 ",LGA support status NBRA analysis,
2020-08-02,LGA,10250,Ballina (A),3_106,Human and Social Recovery,Australian Government Disaster Recovery Allowance (DRA),Applications approved (no.),number,< 20,Services Australia,
2020-08-02,LGA,10250,Ballina (A),3_107,Human and Social Recovery,Australian Government Disaster Recovery Allowance (DRA),Applications approved ($),$,"< 20,000",Services Australia,
2020-08-02,LGA,10250,Ballina (A),3_108,Human and Social Recovery,Australian Government Disaster Recovery Payments (AGDRP),Applications approved (no.),number,n/a,Services Australia,
2020-08-02,LGA,10250,Ballina (A),3_109,Human and Social Recovery,Australian Government Disaster Recovery Payments (AGDRP),Applications approved ($),$,n/a,Services Australia,
2020-08-02,LGA,10250,Ballina (A),3_110,Human and Social Recovery,Additional payment for children,Applications approved (no.),number,< 20,Services Australia,
2020-08-02,LGA,10250,Ballina (A),3_111,Human and Social Recovery,Additional payment for children,Applications approved ($),$,"< 20,000",Services Australia,
2020-09-02,LGA,10250,Ballina (A),4_101,Economic Recovery,"Small business support grants ($10,000)",Applications approved (no.),number,0,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-08-26,LGA,10250,Ballina (A),4_102,Economic Recovery,"Small business support grants ($10,000)",Applications approved ($),$,$0 ,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-09,LGA,10250,Ballina (A),4_103,Economic Recovery,"Small business grants ($50,000)",Applications approved (no.),number,2,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-09,LGA,10250,Ballina (A),4_104,Economic Recovery,"Small business grants ($50,000)",Applications approved ($),$,"$50,000 ",Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-08-30,LGA,10250,Ballina (A),4_105,Economic Recovery,Primary producer grants,Applications approved (no.),number,< 5,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-08-30,LGA,10250,Ballina (A),4_106,Economic Recovery,Primary producer grants,Applications approved ($),$,"$112,108 ",Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-08-30,LGA,10250,Ballina (A),4_107,Economic Recovery,Concessional loans,Applications approved ($),$,$0 ,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2018-12-31,LGA,10550,Bega Valley (A),1_101,Local Government Area Profile,,Total people (no.),number,"34,476","ABS Cat No 3218.0 – Regional Population Growth, Australia, 2018-19",
2016-06-01,LGA,10550,Bega Valley (A),1_102,Local Government Area Profile,,Main towns,,"Merimbula (7,521), Bega (4,141), Eden (3,041), Bermagui (1,481), Cobargo (388)",ABS Census of Population and Housing 2016,
2018-12-31,LGA,10550,Bega Valley (A),1_103,Local Government Area Profile,,Aboriginal and Torres Strait Islander Peoples (%),%,3.10%,"ABS Cat No 1410.0 - Data by Region, 2013-18; Aboriginal and Torres Strait Islander Peoples - Census",
2017-06-30,LGA,10550,Bega Valley (A),1_104,Local Government Area Profile,,Median Age of Earners,years,51,"ABS Cat No. 6524.0.55.002 - Personal Income in Australia, 2011-12 to 2016-17",
2018-06-30,LGA,10550,Bega Valley (A),1_105,Local Government Area Profile,,Median Income ($),$,"$37,366 ","ABS Cat No. 6524.0.55.002 - Personal Income in Australia, 2011-12 to 2016-17",
2019-12-01,LGA,10550,Bega Valley (A),1_106,Local Government Area Profile,,Unemployment rate (%),%,5.00%,"Department of Education, Skills and Employment Small Area Labour Markets publication, December quarter 2019 – data missing for some LGAs)",
2016-12-31,LGA,10550,Bega Valley (A),1_107,Local Government Area Profile,,"SEIFA Decile (1-10, 1 = most disadvantaged)",decile,6,"2033.0.55.001 - Census of Population and Housing: Socio-Economic Indexes for Areas (SEIFA), Australia, 2016",
2019-06-01,LGA,10550,Bega Valley (A),1_108,Local Government Area Profile,,Total businesses,count,"3,037","8165.0 - Counts of Australian Businesses, including Entries and Exits, June 2015 to June 2019",
2019-06-01,LGA,10550,Bega Valley (A),1_109,Local Government Area Profile,,Small business,count,"3,001","8165.0 - Counts of Australian Businesses, including Entries and Exits, June 2015 to June 2019",
2016-12-31,LGA,10550,Bega Valley (A),1_110,Local Government Area Profile,,1st largest industry,,Health care and social assistance,"ABS Census of Popluation and Housing, 2016",
2016-12-31,LGA,10550,Bega Valley (A),1_111,Local Government Area Profile,,2nd largest industry,,Retail trade,"ABS Census of Popluation and Housing, 2016",
2016-12-31,LGA,10550,Bega Valley (A),1_112,Local Government Area Profile,,3rd largest industry,,Accommodation and food services,"ABS Census of Popluation and Housing, 2016",
2016-06-30,LGA,10550,Bega Valley (A),1_113,Local Government Area Profile,,1st highest value product,,Livestock products,"7121.0 - Agricultural Comoddities, Australia, 2015-16",
2016-06-30,LGA,10550,Bega Valley (A),1_114,Local Government Area Profile,,2nd highest value product,,Livestock slaughtered and other disposals,"7121.0 - Agricultural Comoddities, Australia, 2015-16",
2016-06-30,LGA,10550,Bega Valley (A),1_115,Local Government Area Profile,,3rd highest value product,,"Nurseries, cut flowers or cultivated turf","7121.0 - Agricultural Comoddities, Australia, 2015-16",
2020-05-15,LGA,10550,Bega Valley (A),2_101,Bushfire Impact,,Total area affected,,"3,843 sq km (61% of LGA)","Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-05-15,LGA,10550,Bega Valley (A),2_102,Bushfire Impact,,Bushland and forests affected,,"3,133 sq km (75% of bushland and forests)","Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-05-15,LGA,10550,Bega Valley (A),2_103,Bushfire Impact,,Agricultural land affected,,458 sq km (31% of agricultural land),"Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-03-17,LGA,10550,Bega Valley (A),2_104,Bushfire Impact,,Houses damaged/destroyed,,134 / 465,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-03-17,LGA,10550,Bega Valley (A),2_105,Bushfire Impact,,Outbuildings damaged/destroyed,,303 / 1098,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-12,LGA,10550,Bega Valley (A),3_101,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,A (individual),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10550,Bega Valley (A),3_102,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,B (public assests),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10550,Bega Valley (A),3_103,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,C (community),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10550,Bega Valley (A),3_104,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,D (exceptional),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-08-20,LGA,10550,Bega Valley (A),3_105,Human and Social Recovery,LGA Grants Program,Support received,$,"$1,300,000 ",LGA support status NBRA analysis,
2020-08-02,LGA,10550,Bega Valley (A),3_106,Human and Social Recovery,Australian Government Disaster Recovery Allowance (DRA),Applications approved (no.),number,443,Services Australia,
2020-08-02,LGA,10550,Bega Valley (A),3_107,Human and Social Recovery,Australian Government Disaster Recovery Allowance (DRA),Applications approved ($),$,"$1,816,100 ",Services Australia,
2020-08-02,LGA,10550,Bega Valley (A),3_108,Human and Social Recovery,Australian Government Disaster Recovery Payments (AGDRP),Applications approved (no.),number,"7,894",Services Australia,
2020-08-02,LGA,10550,Bega Valley (A),3_109,Human and Social Recovery,Australian Government Disaster Recovery Payments (AGDRP),Applications approved ($),$,"$9,002,000 ",Services Australia,
2020-08-02,LGA,10550,Bega Valley (A),3_110,Human and Social Recovery,Additional payment for children,Applications approved (no.),number,"2,847",Services Australia,
2020-08-02,LGA,10550,Bega Valley (A),3_111,Human and Social Recovery,Additional payment for children,Applications approved ($),$,"$1,138,800 ",Services Australia,
2020-09-02,LGA,10550,Bega Valley (A),4_101,Economic Recovery,"Small business support grants ($10,000)",Applications approved (no.),number,"1,668",Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-02,LGA,10550,Bega Valley (A),4_102,Economic Recovery,"Small business support grants ($10,000)",Applications approved ($),$,"$16,680,000 ",Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-09,LGA,10550,Bega Valley (A),4_103,Economic Recovery,"Small business grants ($50,000)",Applications approved (no.),number,243,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-09,LGA,10550,Bega Valley (A),4_104,Economic Recovery,"Small business grants ($50,000)",Applications approved ($),$,"$6,383,821 ",Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-08-30,LGA,10550,Bega Valley (A),4_105,Economic Recovery,Primary producer grants,Applications approved (no.),number,156,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-08-30,LGA,10550,Bega Valley (A),4_106,Economic Recovery,Primary producer grants,Applications approved ($),$,"$10,176,780 ",Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-08-30,LGA,10550,Bega Valley (A),4_107,Economic Recovery,Concessional loans,Applications approved ($),$,"$5,920,500 ",Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2018-12-31,LGA,10600,Bellingen (A),1_101,Local Government Area Profile,,Total people (no.),number,"12,996","ABS Cat No 3218.0 – Regional Population Growth, Australia, 2018-19",
2016-06-01,LGA,10600,Bellingen (A),1_102,Local Government Area Profile,,Main towns,,"Bellingen (3,074), Urunga (2,599), Dorrigo (1,042)",ABS Census of Population and Housing 2016,
2018-12-31,LGA,10600,Bellingen (A),1_103,Local Government Area Profile,,Aboriginal and Torres Strait Islander Peoples (%),%,3.50%,"ABS Cat No 1410.0 - Data by Region, 2013-18; Aboriginal and Torres Strait Islander Peoples - Census",
2017-06-30,LGA,10600,Bellingen (A),1_104,Local Government Area Profile,,Median Age of Earners,years,51,"ABS Cat No. 6524.0.55.002 - Personal Income in Australia, 2011-12 to 2016-17",
2018-06-30,LGA,10600,Bellingen (A),1_105,Local Government Area Profile,,Median Income ($),$,"$36,601 ","ABS Cat No. 6524.0.55.002 - Personal Income in Australia, 2011-12 to 2016-17",
2019-12-01,LGA,10600,Bellingen (A),1_106,Local Government Area Profile,,Unemployment rate (%),%,4.50%,"Department of Education, Skills and Employment Small Area Labour Markets publication, December quarter 2019 – data missing for some LGAs)",
2016-12-31,LGA,10600,Bellingen (A),1_107,Local Government Area Profile,,"SEIFA Decile (1-10, 1 = most disadvantaged)",decile,5,"2033.0.55.001 - Census of Population and Housing: Socio-Economic Indexes for Areas (SEIFA), Australia, 2016",
2019-06-01,LGA,10600,Bellingen (A),1_108,Local Government Area Profile,,Total businesses,count,"1,181","8165.0 - Counts of Australian Businesses, including Entries and Exits, June 2015 to June 2019",
2019-06-01,LGA,10600,Bellingen (A),1_109,Local Government Area Profile,,Small business,count,"1,169","8165.0 - Counts of Australian Businesses, including Entries and Exits, June 2015 to June 2019",
2016-12-31,LGA,10600,Bellingen (A),1_110,Local Government Area Profile,,1st largest industry,,Health care and social assistance,"ABS Census of Popluation and Housing, 2016",
2016-12-31,LGA,10600,Bellingen (A),1_111,Local Government Area Profile,,2nd largest industry,,Education and training,"ABS Census of Popluation and Housing, 2016",
2016-12-31,LGA,10600,Bellingen (A),1_112,Local Government Area Profile,,3rd largest industry,,Retail trade,"ABS Census of Popluation and Housing, 2016",
2016-06-30,LGA,10600,Bellingen (A),1_113,Local Government Area Profile,,1st highest value product,,Livestock products,"7121.0 - Agricultural Comoddities, Australia, 2015-16",
2016-06-30,LGA,10600,Bellingen (A),1_114,Local Government Area Profile,,2nd highest value product,,Livestock slaughtered and other disposals,"7121.0 - Agricultural Comoddities, Australia, 2015-16",
2016-06-30,LGA,10600,Bellingen (A),1_115,Local Government Area Profile,,3rd highest value product,,Fruit and nuts (excluding grapes),"7121.0 - Agricultural Comoddities, Australia, 2015-16",
2020-05-15,LGA,10600,Bellingen (A),2_101,Bushfire Impact,,Total area affected,,206 sq km (13% of LGA),"Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-05-15,LGA,10600,Bellingen (A),2_102,Bushfire Impact,,Bushland and forests affected,,196 sq km (21% of bushland and forests),"Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-05-15,LGA,10600,Bellingen (A),2_103,Bushfire Impact,,Agricultural land affected,,6 sq km (1% of agricultural land),"Department of Agriculture, Water and the Environment National Indicative Aggregated Fire Extent Dataset, 25 May 2020; ABS Cat No 1270.0.55.003 - Australian Statistical Geography Standard (ASGS): Volume 3 - Non ABS Structures, July 2019.",
2020-03-17,LGA,10600,Bellingen (A),2_104,Bushfire Impact,,Houses damaged/destroyed,,0 / 0,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-03-17,LGA,10600,Bellingen (A),2_105,Bushfire Impact,,Outbuildings damaged/destroyed,, 1 / 20,Data is provided to NBRA by multiple State Agencies at different times. Data is most current at the date provided in the date column.,
2020-09-12,LGA,10600,Bellingen (A),3_101,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,A (individual),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10600,Bellingen (A),3_102,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,B (public assests),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10600,Bellingen (A),3_103,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,C (community),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-09-12,LGA,10600,Bellingen (A),3_104,Human and Social Recovery,Disaster Recovery Funding Arrangements (DRFA) Category,,,D (exceptional),"Home Affairs, Summary of Recovery Assistance Table, September 2020",
2020-08-20,LGA,10600,Bellingen (A),3_105,Human and Social Recovery,LGA Grants Program,Support received,$,"$1,225,000 ",LGA support status NBRA analysis,
2020-08-02,LGA,10600,Bellingen (A),3_106,Human and Social Recovery,Australian Government Disaster Recovery Allowance (DRA),Applications approved (no.),number,< 20,Services Australia,
2020-08-02,LGA,10600,Bellingen (A),3_107,Human and Social Recovery,Australian Government Disaster Recovery Allowance (DRA),Applications approved ($),$,"$35,156 ",Services Australia,
